         31597940 function calls (31260790 primitive calls) in 91.931 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10455    0.004    0.000    0.004    0.000 document.py:278(_get_text)
      351    0.004    0.000    0.278    0.001 document.py:281(_set_text)
      346    0.001    0.000    0.256    0.001 document.py:411(insert_text)
      346    0.001    0.000    0.004    0.000 document.py:427(_insert_text)
      346    0.002    0.000    0.018    0.000 document.py:434(delete_text)
      346    0.002    0.000    0.002    0.000 document.py:447(_delete_text)
     6273    0.018    0.000    0.026    0.000 document.py:584(get_style_runs)
     1394    0.006    0.000    0.048    0.000 document.py:602(get_font_runs)
     1394    0.022    0.000    0.039    0.000 document.py:606(get_font)
      697    0.001    0.000    0.002    0.000 document.py:615(get_element_runs)
        1    0.000    0.000    0.000    0.000 event.py:160(register_event_type)
4492/4490    0.047    0.000    0.329    0.000 event.py:318(dispatch_event)
       11    0.000    0.000    0.000    0.000 gl_info.py:102(have_extension)
      117    0.004    0.000    0.004    0.000 gl_info.py:137(have_version)
     3709    0.009    0.000    0.009    0.000 gl_info.py:84(set_active_context)
        1    0.000    0.000    0.000    0.000 gl_info.py:99(remove_active_context)
     3709    0.006    0.000    0.006    0.000 glu_info.py:83(set_active_context)
      697    0.006    0.000    0.010    0.000 layout.py:1002(_get_owner_runs)
     1394    0.002    0.000    0.067    0.000 layout.py:1013(_flow_glyphs)
     1394    0.019    0.000    0.065    0.000 layout.py:1276(_flow_glyphs_single_line)
      697    0.000    0.000    0.000    0.000 layout.py:1281(<lambda>)
      697    0.014    0.000    0.037    0.000 layout.py:1310(_flow_lines)
      697    0.000    0.000    0.000    0.000 layout.py:1313(<lambda>)
      697    0.000    0.000    0.000    0.000 layout.py:1316(<lambda>)
      697    0.000    0.000    0.000    0.000 layout.py:1320(<lambda>)
      697    0.004    0.000    0.143    0.000 layout.py:1380(_create_vertex_lists)
      351    0.006    0.000    0.020    0.000 layout.py:1387(_set_x)
     7016    0.002    0.000    0.002    0.000 layout.py:1393(<lambda>)
      351    0.000    0.000    0.001    0.000 layout.py:1468(_set_multiline)
      351    0.000    0.000    0.000    0.000 layout.py:1472(_get_multiline)
     2788    0.002    0.000    0.003    0.000 layout.py:168(_parse_distance)
      697    0.001    0.000    0.001    0.000 layout.py:216(__init__)
      697    0.003    0.000    0.004    0.000 layout.py:224(add_box)
      697    0.004    0.000    0.010    0.000 layout.py:240(__init__)
      697    0.000    0.000    0.000    0.000 layout.py:248(<lambda>)
      697    0.002    0.000    0.012    0.000 layout.py:251(__init__)
      697    0.001    0.000    0.001    0.000 layout.py:257(add_list)
      697    0.001    0.000    0.001    0.000 layout.py:275(__init__)
      697    0.004    0.000    0.005    0.000 layout.py:294(__init__)
      697    0.030    0.000    0.139    0.000 layout.py:318(place)
     3610    0.035    0.000    0.153    0.000 layout.py:521(set_state)
     3610    0.008    0.000    0.074    0.000 layout.py:526(unset_state)
     3610    0.011    0.000    0.047    0.000 layout.py:642(set_state)
      697    0.003    0.000    0.003    0.000 layout.py:664(__init__)
     3610    0.020    0.000    0.059    0.000 layout.py:670(set_state)
     1397    0.003    0.000    0.006    0.000 layout.py:676(__hash__)
     1392    0.002    0.000    0.002    0.000 layout.py:679(__eq__)
     3485    0.003    0.000    0.005    0.000 layout.py:782(_parse_distance)
      351    0.000    0.000    0.000    0.000 layout.py:787(begin_update)
      351    0.002    0.000    0.179    0.001 layout.py:801(end_update)
     3611    0.011    0.000    1.499    0.000 layout.py:827(draw)
     1394    0.001    0.000    0.001    0.000 layout.py:848(_get_document)
      697    0.008    0.000    0.249    0.000 layout.py:868(_get_lines)
     1394    0.013    0.000    0.433    0.000 layout.py:879(_update)
      697    0.001    0.000    0.001    0.000 layout.py:911(_get_left)
      697    0.001    0.000    0.001    0.000 layout.py:926(_get_top)
      692    0.002    0.000    0.258    0.000 layout.py:959(_init_document)
      346    0.000    0.000    0.249    0.001 layout.py:965(on_insert_text)
      346    0.001    0.000    0.010    0.000 layout.py:973(on_delete_text)
      697    0.012    0.000    0.124    0.000 layout.py:989(_get_glyphs)
        4    0.000    0.000    0.000    0.000 lib.py:124(decorate_function)
  3094549   40.018    0.000   40.018    0.000 lib.py:85(errcheck)
   867071    2.500    0.000   12.416    0.000 lib_wgl.py:79(__call__)
      297    0.002    0.000    0.002    0.000 lm_drawable.py:10(__init__)
   141276    0.162    0.000    0.162    0.000 lm_drawable.py:38(set_cxform)
    95362    0.043    0.000    0.043    0.000 lm_drawable.py:46(get_color_add)
    95362    0.028    0.000    0.028    0.000 lm_drawable.py:49(get_color_mul)
   190456    0.304    0.000    0.304    0.000 lm_drawable.py:52(apply_cxform)
   317088    1.550    0.000   13.354    0.000 lm_drawable.py:60(_update_cxform)
   190456    0.263    0.000    0.263    0.000 lm_drawable.py:64(apply_matrix)
   141276    0.120    0.000    0.120    0.000 lm_drawable.py:69(set_matrix)
   317088    0.633    0.000    2.548    0.000 lm_drawable.py:74(_update_matrix)
    37379    0.019    0.000    0.019    0.000 lm_drawable.py:83(get_matrix)
   407031    0.887    0.000   16.789    0.000 lm_drawable.py:86(refresh)
   141276    0.063    0.000    0.063    0.000 lm_drawable.py:93(set_blend_mode)
     8520    0.005    0.000    0.005    0.000 lm_drawable.py:96(set_depth)
     8520    0.033    0.000    0.053    0.000 lm_drawable_container.py:12(add_drawable)
   283045    0.131    0.000    0.131    0.000 lm_drawable_container.py:19(get_drawable)
     8887    0.006    0.000    0.006    0.000 lm_drawable_container.py:22(remove_drawable)
247573/3611    1.600    0.000   30.270    0.008 lm_drawable_container.py:25(refresh)
   348289    0.369    0.000    0.369    0.000 lm_drawable_container.py:39(__iter__)
      171    0.001    0.000    0.002    0.000 lm_drawable_container.py:7(__init__)
      171    0.000    0.000    0.000    0.000 lm_loader.py:52(get_character)
      126    0.001    0.000    0.061    0.000 lm_shape_clipped_image.py:11(__init__)
      126    0.000    0.000    0.056    0.000 lm_shape_clipped_image.py:18(_create_vertex_list)
   159458    5.117    0.000   18.372    0.000 lm_shape_clipped_image.py:23(refresh)
     4701    0.027    0.000    0.057    0.000 lm_shape_clipped_image.py:47(clear)
     4525    0.010    0.000    0.071    0.000 lm_sprite.py:9(clear)
        6    0.000    0.000    0.000    0.000 lm_tag_do_action.py:16(execute)
    84729    0.708    0.000    2.932    0.000 lm_tag_frame.py:24(execute)
      126    0.000    0.000    0.000    0.000 lm_tag_img_list.py:21(get_val)
       60    0.000    0.000    0.001    0.000 lm_tag_movieclip.py:53(instantiate)
   141276    1.417    0.000    2.206    0.000 lm_tag_place_obj.py:64(execute)
      493    0.001    0.000    0.018    0.000 lm_tag_remove_obj.py:16(execute)
      126    0.001    0.000    0.062    0.000 lm_tag_shape.py:33(instantiate)
      111    0.001    0.000    0.065    0.001 lm_tag_sprite.py:36(instantiate)
  1902528    0.407    0.000    0.407    0.000 lm_type_color.py:12(_get_g)
  1902528    0.477    0.000    0.477    0.000 lm_type_color.py:15(_get_b)
  1902528    0.449    0.000    0.449    0.000 lm_type_color.py:18(_get_a)
   279606    0.337    0.000    0.337    0.000 lm_type_color.py:21(_get_rB)
   279606    0.219    0.000    0.219    0.000 lm_type_color.py:24(_get_gB)
   279606    0.223    0.000    0.223    0.000 lm_type_color.py:27(_get_bB)
   951264    2.967    0.000    4.927    0.000 lm_type_color.py:3(__init__)
   279606    0.207    0.000    0.207    0.000 lm_type_color.py:30(_get_aB)
   634176    3.473    0.000    8.005    0.000 lm_type_color.py:33(__mul__)
   317088    1.600    0.000    3.799    0.000 lm_type_color.py:35(__add__)
  1902528    0.471    0.000    0.471    0.000 lm_type_color.py:9(_get_r)
      126    0.000    0.000    0.000    0.000 lm_type_img.py:27(get_texture)
   317088    1.622    0.000    1.915    0.000 lm_type_mat.py:18(__mul__)
   559212    1.479    0.000    1.479    0.000 lm_type_mat.py:33(get_transformed_point)
   139803    1.929    0.000    1.929    0.000 lm_type_mat.py:38(__str__)
   317088    0.293    0.000    0.293    0.000 lm_type_mat.py:5(__init__)
       11    0.000    0.000    0.002    0.000 re.py:167(findall)
       11    0.000    0.000    0.000    0.000 re.py:227(_compile)
      697    0.004    0.000    0.004    0.000 runlist.py:127(set_run)
     1394    0.001    0.000    0.001    0.000 runlist.py:190(__iter__)
      697    0.001    0.000    0.005    0.000 runlist.py:196(get_run_iterator)
      697    0.002    0.000    0.003    0.000 runlist.py:287(__init__)
     1394    0.001    0.000    0.002    0.000 runlist.py:296(ranges)
     3485    0.003    0.000    0.003    0.000 runlist.py:352(__init__)
     2788    0.004    0.000    0.005    0.000 runlist.py:370(ranges)
     2091    0.004    0.000    0.005    0.000 runlist.py:377(__getitem__)
     1394    0.001    0.000    0.001    0.000 runlist.py:385(__init__)
     2788    0.019    0.000    0.021    0.000 runlist.py:388(ranges)
     8364    0.006    0.000    0.006    0.000 runlist.py:407(__init__)
     9758    0.003    0.000    0.003    0.000 runlist.py:414(ranges)
     4182    0.001    0.000    0.001    0.000 runlist.py:417(__getitem__)
      697    0.001    0.000    0.001    0.000 runlist.py:43(__init__)
      697    0.002    0.000    0.003    0.000 runlist.py:69(__init__)
        1    0.000    0.000    0.000    0.000 sprite.py:107(SpriteGroup)
      126    0.000    0.000    0.000    0.000 sprite.py:113(__init__)
   132649    1.793    0.000    8.929    0.000 sprite.py:137(set_state)
   132649    0.587    0.000    3.568    0.000 sprite.py:145(unset_state)
      176    0.001    0.000    0.001    0.000 sprite.py:152(__eq__)
     1008    0.002    0.000    0.003    0.000 sprite.py:160(__hash__)
        1    0.000    0.000    0.000    0.000 sprite.py:165(Sprite)
        1    0.002    0.002    0.002    0.002 sprite.py:91(<module>)
        1    0.000    0.000    0.000    0.000 test.py:24(on_key_press)
     3611    0.215    0.000   85.214    0.024 test.py:30(on_draw)
     3611    0.016    0.000    3.963    0.001 test.py:57(update)
      117    0.001    0.000    0.001    0.000 vertexattribute.py:214(create_attribute)
      117    0.000    0.000    0.000    0.000 vertexattribute.py:260(__init__)
     2863    0.013    0.000    0.041    0.000 vertexattribute.py:298(get_region)
       39    0.000    0.000    0.000    0.000 vertexattribute.py:370(__init__)
   136259    0.335    0.000    1.816    0.000 vertexattribute.py:374(enable)
   136259    0.557    0.000    2.054    0.000 vertexattribute.py:377(set_pointer)
       39    0.000    0.000    0.000    0.000 vertexattribute.py:451(__init__)
   136259    0.328    0.000    1.822    0.000 vertexattribute.py:456(enable)
   136259    0.575    0.000    2.050    0.000 vertexattribute.py:459(set_pointer)
       39    0.000    0.000    0.000    0.000 vertexattribute.py:468(__init__)
   136259    0.337    0.000    1.827    0.000 vertexattribute.py:475(enable)
   136259    0.586    0.000    2.107    0.000 vertexattribute.py:478(set_pointer)
      117    0.002    0.000    0.027    0.000 vertexbuffer.py:294(__init__)
   408777    0.856    0.000    6.691    0.000 vertexbuffer.py:312(bind)
   408777    0.635    0.000    6.233    0.000 vertexbuffer.py:315(unbind)
      117    0.002    0.000    0.029    0.000 vertexbuffer.py:382(__init__)
